article_id,group,subcat,n,group_total,subcat_prop,subcat_total,top_prop,subcat_plot
1,Curiosity,Curiosity,292,292,1.0,2052,0.14230019493177387,d. Curiosity
1,Evaluative Response,Evaluative: Prescriptive,23,84,0.27380952380952384,2052,0.011208576998050682,j. Evaluative: Prescriptive
1,Evaluative Response,Evaluative: Reactive,61,84,0.7261904761904762,2052,0.0297270955165692,i. Evaluative: Reactive
1,Inference,Inference: Causal,89,247,0.3603238866396761,2052,0.04337231968810916,e. Inference: Causal
1,Inference,Inference: Hypothetical,158,247,0.6396761133603239,2052,0.0769980506822612,f. Inference: Hypothetical
1,Prior Knowledge,Prior Knowledge: General,384,623,0.6163723916532905,2052,0.1871345029239766,g. Prior Knowledge: General
1,Prior Knowledge,Prior Knowledge: Personal,239,623,0.38362760834670945,2052,0.11647173489278752,h. Prior Knowledge: Personal
1,Visual Observation,Visual Observation: Chart Elements,106,806,0.1315136476426799,2052,0.05165692007797271,a. Visual Observation: Chart Elements
1,Visual Observation,Visual Observation: Data Extraction,179,806,0.22208436724565755,2052,0.08723196881091617,b. Visual Observation: Data Extraction
1,Visual Observation,Visual Observation: Pattern Recognition,521,806,0.6464019851116626,2052,0.25389863547758285,c. Visual Observation: Pattern Recognition
10,Curiosity,Curiosity,391,391,1.0,2008,0.1947211155378486,d. Curiosity
10,Evaluative Response,Evaluative: Prescriptive,50,93,0.5376344086021505,2008,0.0249003984063745,j. Evaluative: Prescriptive
10,Evaluative Response,Evaluative: Reactive,43,93,0.46236559139784944,2008,0.02141434262948207,i. Evaluative: Reactive
10,Inference,Inference: Causal,159,327,0.48623853211009177,2008,0.07918326693227092,e. Inference: Causal
10,Inference,Inference: Hypothetical,168,327,0.5137614678899083,2008,0.08366533864541832,f. Inference: Hypothetical
10,Prior Knowledge,Prior Knowledge: General,235,518,0.45366795366795365,2008,0.11703187250996015,g. Prior Knowledge: General
10,Prior Knowledge,Prior Knowledge: Personal,283,518,0.5463320463320464,2008,0.1409362549800797,h. Prior Knowledge: Personal
10,Visual Observation,Visual Observation: Chart Elements,208,679,0.30633284241531666,2008,0.10358565737051793,a. Visual Observation: Chart Elements
10,Visual Observation,Visual Observation: Data Extraction,51,679,0.07511045655375552,2008,0.025398406374501994,b. Visual Observation: Data Extraction
10,Visual Observation,Visual Observation: Pattern Recognition,420,679,0.6185567010309279,2008,0.20916334661354583,c. Visual Observation: Pattern Recognition
100,Curiosity,Curiosity,318,318,1.0,2501,0.12714914034386246,d. Curiosity
100,Evaluative Response,Evaluative: Prescriptive,60,127,0.47244094488188976,2501,0.023990403838464614,j. Evaluative: Prescriptive
100,Evaluative Response,Evaluative: Reactive,67,127,0.5275590551181102,2501,0.026789284286285485,i. Evaluative: Reactive
100,Inference,Inference: Causal,178,310,0.5741935483870968,2501,0.07117153138744502,e. Inference: Causal
100,Inference,Inference: Hypothetical,132,310,0.4258064516129032,2501,0.052778888444622155,f. Inference: Hypothetical
100,Prior Knowledge,Prior Knowledge: General,283,551,0.5136116152450091,2501,0.1131547381047581,g. Prior Knowledge: General
100,Prior Knowledge,Prior Knowledge: Personal,268,551,0.4863883847549909,2501,0.10715713714514194,h. Prior Knowledge: Personal
100,Visual Observation,Visual Observation: Chart Elements,135,1195,0.11297071129707113,2501,0.053978408636545384,a. Visual Observation: Chart Elements
100,Visual Observation,Visual Observation: Data Extraction,315,1195,0.26359832635983266,2501,0.12594962015193922,b. Visual Observation: Data Extraction
100,Visual Observation,Visual Observation: Pattern Recognition,745,1195,0.6234309623430963,2501,0.29788084766093564,c. Visual Observation: Pattern Recognition
101,Curiosity,Curiosity,282,282,1.0,2062,0.1367604267701261,d. Curiosity
101,Evaluative Response,Evaluative: Prescriptive,52,149,0.348993288590604,2062,0.02521823472356935,j. Evaluative: Prescriptive
101,Evaluative Response,Evaluative: Reactive,97,149,0.6510067114093959,2062,0.04704170708050436,i. Evaluative: Reactive
101,Inference,Inference: Causal,76,832,0.09134615384615384,2062,0.03685741998060136,e. Inference: Causal
101,Inference,Inference: Hypothetical,756,832,0.9086538461538461,2062,0.36663433559650827,f. Inference: Hypothetical
101,Prior Knowledge,Prior Knowledge: General,260,435,0.5977011494252874,2062,0.12609117361784675,g. Prior Knowledge: General
101,Prior Knowledge,Prior Knowledge: Personal,175,435,0.40229885057471265,2062,0.0848690591658584,h. Prior Knowledge: Personal
101,Visual Observation,Visual Observation: Chart Elements,124,364,0.34065934065934067,2062,0.06013579049466537,a. Visual Observation: Chart Elements
