subcat,count,mean,std,min,25%,50%,75%,max
Visual Observation: Chart Elements,198.0,0.089403,0.049156,0.0,0.056621,0.079419,0.110584,0.367793
Visual Observation: Data Extraction,198.0,0.067296,0.033849,0.014579,0.042675,0.061304,0.088706,0.204276
Visual Observation: Pattern Recognition,198.0,0.2452,0.065001,0.083899,0.200851,0.242994,0.281765,0.459103
Curiosity,198.0,0.163294,0.033141,0.084145,0.144503,0.160777,0.180435,0.388889
Inference: Causal,198.0,0.072795,0.028776,0.022803,0.054008,0.068689,0.08663,0.169565
Inference: Hypothetical,198.0,0.078505,0.047206,0.0,0.048436,0.067662,0.093082,0.366634
Prior Knowledge: General,198.0,0.126979,0.039214,0.037037,0.099315,0.122672,0.148712,0.268771
Prior Knowledge: Personal,198.0,0.103301,0.063493,0.0,0.033563,0.116757,0.149043,0.238095
Evaluative: Reactive,198.0,0.032539,0.015069,0.006392,0.021456,0.030024,0.041526,0.087907
Evaluative: Prescriptive,198.0,0.020688,0.016022,0.0,0.008772,0.016724,0.027156,0.095705
